,Y,X1,X2,X3,X4,X5,X6
954,-0.9712572909068568,-0.9877280083242483,-0.9947345992256148,-0.9955973510903353,-0.9965646789386583,-0.9959110790411428,-0.9948914632010186
2038,-0.9971137028525714,-0.9970614148607702,-0.9966692549222609,-0.996381670967354,-0.9958849350452422,-0.9953359111313291,-0.9946038792461117
4842,-0.9962248069919503,-0.9958587910493416,-0.9958587910493416,-0.9958065030575404,-0.9954666311108322,-0.9954666311108322,-0.9956496390821366
1533,-0.9977516163525466,-0.9977516163525466,-0.9977045571599255,-0.9975320067869813,-0.9977960611455776,-0.998447046643503,-0.998779075391441
4448,-0.998447046643503,-0.9983241698627702,-0.9983790722541614,-0.9986614274098882,-0.9984496610430932,-0.9982143650799875,-0.998444432243913
1947,-0.9956234950862359,-0.995205191151826,-0.9947607432215154,-0.9943685832830061,-0.9951790471559254,-0.9956234950862359,-0.995205191151826
1208,-0.9916496077093415,-0.9898456719921986,-0.9923816395945589,-0.9929045195125713,-0.9959633670329441,-0.9969568388771677,-0.9969568388771677
17,-0.9993882304959255,-0.9993620865000248,-0.9993359425041242,-0.9993620865000248,-0.9993882304959255,-0.9993882304959255,-0.9993882304959255
4206,-0.9996810432500124,-0.9989803841598758,-0.9981254754939255,-0.9978666499345092,-0.9997803904344348,-0.9999503264077888,-1.0
2582,-0.9991006465410186,-0.9991006465410186,-0.9991006465410186,-0.9991006465410186,-0.9991006465410186,-0.9991006465410186,-0.9991006465410186
2484,-0.9975450787849316,-0.9975450787849316,-0.9975450787849316,-0.9972967108238757,-0.9971137028525714,-0.9971137028525714,-0.9970614148607702
1359,-0.8609296282062343,-0.9786821857426333,-0.9921201996355526,-0.9916757517052421,-0.9972182788361739,-0.9982666530717887,-0.998279725069739
4430,-0.9985829954221863,-0.9989594689631552,-0.998611753817677,-0.9983110978648199,-0.9984888770369441,-0.9984888770369441,-0.9986431266127578
2073,-0.9375315361950551,-0.9912835917667329,-0.9949437511928199,-0.9946038792461117,-0.9939241353526955,-0.9925646475658633,-0.9905254158856148
1778,-0.9966953989181615,-0.9966953989181615,-0.9966169669304595,-0.9962509509878509,-0.9962509509878509,-0.9962509509878509,-0.996172519000149
3215,-0.987884872299652,-0.9875972883447451,-0.9866822484882234,-0.9852704727095899,-0.9924339275863602,-0.993061383487975,-0.993061383487975
1944,-0.9943685832830061,-0.9951790471559254,-0.9956234950862359,-0.995205191151826,-0.9947607432215154,-0.9942901512953043,-0.9911790157831303
2716,-0.9933228234469813,-0.9926169355576645,-0.9905254158856148,-0.987466568365242,-0.9844861528325712,-0.9770089700049935,-0.9615840124236269
604,-0.9954404871149316,-0.9922770636109565,-0.9894273680577886,-0.9841462808858632,-0.9812965853326954,-0.9647212919317014,-0.9789174817057389
4346,-0.995754215065739,-0.9955973510903353,-0.9955712070944347,-0.9952836231395279,-0.9952836231395279,-0.9954927751067328,-0.9956234950862359
3682,-0.9985463938279254,-0.998232665877118,-0.9982483522746584,-0.9984078306496521,-0.9985829954221863,-0.9986039106189069,-0.9986039106189069
3420,-0.9953097671354285,-0.9943424392871055,-0.993061383487975,-0.990786855844621,-0.9894273680577886,-0.9890874961110806,-0.9877280083242483
427,-0.9982117506803975,-0.9982117506803975,-0.9982117506803975,-0.9981856066844969,-0.9980548867049938,-0.9980548867049938,-0.99789802272959
3220,-0.9921986316232546,-0.9919110476683477,-0.9912835917667329,-0.9903162639184098,-0.9891136401069812,-0.987884872299652,-0.9875972883447451
500,-0.9971137028525714,-0.9969306948812671,-0.9968784068894658,-0.9965908229345589,-0.9963293829755527,-0.9961463750042484,-0.9959633670329441
720,-0.9974274308033788,-0.9974274308033788,-0.9974274308033788,-0.9974274308033788,-0.9973228548197763,-0.9972182788361739,-0.9971659908443726
