,Y,X1,X2,X3
2746,-0.031105061255736755,-0.01956059759331863,-0.02279060407114397,-0.02695241971120299
3493,-0.025324363944796202,-0.021522764343762657,-0.024502933224016754,-0.022689858807114938
3615,-0.023585561176403425,-0.022823446961557692,-0.023631072343302972,-0.022765537796761826
4241,-0.025124660335256066,-0.020911392961839637,-0.025905608616240583,-0.020367628307934038
2474,-0.022590170728191583,-0.024664085910206746,-0.021104072318599898,-0.026276780357001428
2787,-0.01565694293553921,-0.027250423515101985,-0.02243191494004726,-0.021305768112008017
4831,-0.02370470205623243,-0.022915646931604083,-0.023397889966517482,-0.023155741531383445
4613,-0.025021235825687826,-0.021368086768581485,-0.025155105832195157,-0.02125282013168417
2962,-0.02255895538140873,-0.02387352767344897,-0.022549165416737127,-0.02387591599124894
350,-0.022679187453093275,-0.02373890173885984,-0.022691252797856443,-0.023727527236544255
3161,-0.03456708761734495,-0.01152048376673187,-0.03335426951243292,-0.014908627280676545
1187,-0.025772460324512303,-0.020452396579606513,-0.02598438399833647,-0.020617973534236333
241,-0.00744396546472148,-0.006711477369828467,-0.06243602502842249,0.0340791807601053
4733,-0.023736417267418153,-0.022692674052531503,-0.0237462729820348,-0.022678987058590616
3496,-0.01983996896203266,-0.026303694088406826,-0.02069710671252989,-0.025324363944796202
617,-0.0243663877684841,-0.019308415139034585,-0.029585943756353705,-0.01492020585042697
3502,-0.023832261006281774,-0.02416074166302773,-0.02118750011675652,-0.026121592428498763
2737,-0.028954304654164043,-0.019158096402737024,-0.026129730383654848,-0.021694948829600547
636,-0.0196321494936329,-0.024458185316658332,-0.024055915752623558,-0.020445681007393524
247,0.10820502487679184,-0.1604912281766273,0.11016139581702622,-0.13708871326308536
513,-0.023557055905033764,-0.02286663766733643,-0.02362300272192286,-0.022803794339502304
389,-0.02374178593906806,-0.022694726435029122,-0.023725121899131785,-0.022708709653053494
926,-0.019435903878397887,-0.0279802056787386,-0.017395607326410767,-0.030064697092685
996,-0.07518887438897792,0.018163087994739646,-0.0538830004821661,-0.0037874830249660096
876,-0.02690098920506523,-0.019352914259217813,-0.02672706814322645,-0.020518338839995653
1790,-0.02253275478336747,-0.02394192212995272,-0.02244189637297478,-0.024020853892736893
853,-0.020825587803127044,-0.025961216628083705,-0.020421230820066527,-0.02585082129782157
856,-0.022492455547553525,-0.02255457759281998,-0.024905317323185128,-0.020825587803127044
1602,-0.021948993328457234,-0.02453870951383863,-0.021826640405213205,-0.024599773477380293
2509,-0.02426564500070616,-0.022026046620492123,-0.02449595299836771,-0.021828201627761
202,-0.01686661425574587,-0.027409976578096185,-0.021652518298714063,-0.0219503634104512
3098,-0.026950493247202778,-0.022583492007051453,-0.020939951799678447,-0.027897832612759133
2949,-0.02378406833437119,-0.022645904108702486,-0.02378435617873975,-0.022639792127408076
1250,-0.026380532325702255,-0.01899756850541201,-0.02835794194629071,-0.01731458596033475
860,-0.015117255258044193,-0.02940351080273096,-0.019000449114210394,-0.025589037319812102
1514,-0.021915092551657356,-0.02455119792093441,-0.02185308770124983,-0.024598887494195032
4653,-0.025745483393410207,-0.020406081720435232,-0.026045889553429125,-0.020353621929722343
2349,-0.02164305016710888,-0.025214384319869887,-0.021174058012787933,-0.02524731213665743
1130,-0.02253688871245374,-0.023891550353528745,-0.022534282713570386,-0.02389495856343027
1399,-0.0413348293340724,0.10615252754399074,-0.23561174755460224,0.24442025548030966
2653,-0.01847154076974311,-0.0286738723538843,-0.017697379466358742,-0.028343255998356742
2213,-0.023696797792397306,-0.022726698086573238,-0.02370921293610817,-0.022706511070176738
1613,-0.02288076203410161,-0.023393819398720206,-0.023166319359508303,-0.023029207225431225
541,-0.02198902510564793,-0.024199448050457484,-0.022522955469698847,-0.02359892761968796
963,-0.040225484303117676,0.000869877608582259,-0.05400777893849107,0.0137345704005436
297,-0.024051315065685697,-0.022677380845121053,-0.023824963779664254,-0.023016976804193012
1629,-0.038464825584686,-0.009910022790086237,-0.03392726631862186,-0.014631491940247487
1645,0.020186880047764477,-0.07304772883499355,0.031017353686402238,-0.07596841713797675
2887,-0.023793204670486845,-0.022635215401402564,-0.02379901799986406,-0.022630230648793548
3972,-0.022778884689598544,-0.02364041746626977,-0.022797262098233295,-0.023634568508841713
4503,-0.019947385560631026,-0.02630188368018671,-0.020652358016265526,-0.024306818759763593
1703,-0.029437069314221298,-0.01649671704262945,-0.030322277530733577,-0.0163138954312958
4697,-0.023813323361512873,-0.022389211954979893,-0.024274587072079856,-0.021925195735076675
3936,-0.022800519032347144,-0.023617804670020615,-0.022838373436082304,-0.023579522815164844
1735,-0.024922553882490095,-0.019527960478074702,-0.0289877207838678,-0.015386239866777451
225,-0.0029858347051821,-0.04596426903516093,0.0007661620918220091,-0.048640703975567745
575,-0.03995559163057538,-0.008615593570057034,-0.03533127771291966,-0.013904568691292196
2520,-0.022625963495630397,-0.023737824482789383,-0.02270606553059129,-0.023702723069642384
459,-0.023358035769629026,-0.023082194306997872,-0.023385077320849157,-0.02296002192205082
1889,-0.02541518494807704,-0.021226065690973295,-0.024950393151095263,-0.021687263777866006
4456,-0.024691193793475508,-0.021387765386771562,-0.024902631248890583,-0.022110118456374228
3879,-0.024016592836216155,-0.022563493251325895,-0.023739407406304758,-0.02302976372873977
2888,-0.022636336758613318,-0.023793204670486845,-0.022635215401402564,-0.02379901799986406
107,-0.021422648495921792,-0.024097400803677504,-0.02307412016334842,-0.022774976507981104
3433,-0.021609948469510365,-0.024823362853380493,-0.021773433839671785,-0.024389335289839553
457,-0.023385077320849157,-0.02296002192205082,-0.023567171354106353,-0.02273730473802127
3028,-0.023012153519311296,-0.023402005331893072,-0.02301248949848289,-0.02339730889869851
577,-0.04121581092005555,-0.005182956691055618,-0.03995559163057538,-0.008615593570057034
4052,-0.022650750230608696,-0.023775522939910032,-0.02266120160259988,-0.023760656762484178
3229,-0.020928292291522932,-0.02564197262959944,-0.020853693555920372,-0.025379733205084132
3405,-0.02356851998196885,-0.022936722580923607,-0.0235010885811735,-0.02294863723828533
1532,-0.02174720068923086,-0.024467406720054097,-0.022148004098495377,-0.024129595751510746
4452,-0.024062001889144313,-0.022227788839717877,-0.02420860001146441,-0.022568978179033916
3587,-0.023539396261213485,-0.02289519695717268,-0.023520403453631267,-0.022921669832524638
1696,-0.025717644967960362,-0.017986455360778697,-0.03228794793533274,-0.009388594426151142
3948,-0.022703836032658353,-0.023711325656689763,-0.022733943285680014,-0.023691042961829556
3222,-0.023894386890567776,-0.02301288315728789,-0.02290335318905079,-0.023850364477846275
4614,-0.021436722409628683,-0.025021235825687826,-0.021368086768581485,-0.025155105832195157
4460,-0.02188142264031645,-0.02358714572631193,-0.023627113809460698,-0.022293725345042925
3136,-0.037417609681906217,-0.010564728252856592,-0.032089443823593355,-0.019559960226872453
3385,-0.023715676373978645,-0.02269741392343716,-0.02376011072444284,-0.022587093105284617
777,-0.023726385967435037,-0.022693273527761626,-0.02375791123451465,-0.022660991656288765
3103,-0.004907692031034805,-0.03942458883340305,-0.009771275834154824,-0.033631493115012345
2480,-0.023383746873154143,-0.023037891987342074,-0.023454447781913745,-0.022985556720143796
4837,-0.024619816225223357,-0.02193716298102988,-0.024307675539695817,-0.022315268091444573
2603,-0.023781490252560933,-0.022650912258103673,-0.023775285454270545,-0.022657861440473992
3007,-0.02438521648545411,-0.022088775881400458,-0.024276179954260013,-0.0222442367860185
1446,-0.019129664783204436,-0.025100258249203367,-0.024039850800875562,-0.01973239785531966
4738,-0.022707896686495976,-0.023723072253954536,-0.02270827845362111,-0.023731751005886426
21,-0.023766107116695467,-0.022660825657060513,-0.023770511093288205,-0.02265252886769309
2499,-0.02423881903330194,-0.022289278823812375,-0.024056079724062984,-0.02246933992780531
1858,-0.022602594628859496,-0.023822823986538233,-0.022610208707615653,-0.0238113803242066
2961,-0.02387352767344897,-0.022549165416737127,-0.02387591599124894,-0.022558971186269483
110,-0.026208946222385565,-0.020377026504328377,-0.025643006860009643,-0.021422648495921792
3457,-0.022827660791557736,-0.023358108013113665,-0.02327673537815922,-0.02285707307059648
4588,-0.02349569056385492,-0.022918973206153437,-0.023534304081925694,-0.023068751632815743
961,-0.05400777893849107,0.0137345704005436,-0.06468983329203126,0.02178069376891334
1507,-0.024595446195751047,-0.0218354115853997,-0.024581747781741936,-0.021853757928242845
1116,-0.022572026864070893,-0.02384803865447782,-0.022587909051315247,-0.023830522565998935
2601,-0.023775285454270545,-0.022657861440473992,-0.023763984280904316,-0.022665871280840855
990,-0.014180176499969055,-0.03915886122206047,-0.0028927355608890926,-0.046211945219248096
3403,-0.0235010885811735,-0.02294863723828533,-0.02348751130337734,-0.022934680243370864
2294,-0.024488396447236882,-0.022366079612526124,-0.023769375232599366,-0.023000420742383065
734,-0.02263626880351355,-0.023782740514336598,-0.022655023316924594,-0.02376768130013751
235,-0.09490066380581619,0.04336346939245006,-0.0812129695325724,0.02306306728875862
1644,-0.07304772883499355,0.031017353686402238,-0.07596841713797675,0.0247827114820085
166,-0.02197588269236428,-0.02439398096100298,-0.02216773635965197,-0.024167640869521945
3140,-0.034707652250922316,-0.009716277160242037,-0.03788775979150827,-0.008186121982851291
153,-0.024000172529326513,-0.022413079028821725,-0.024019146538227787,-0.022405536195673093
34,-0.022632836005515244,-0.023788980196033593,-0.022644502131317745,-0.023780309887645457
4813,-0.023794462226455648,-0.02265773764900758,-0.023764735038716567,-0.022659963591465604
3941,-0.023693751700413435,-0.02274720728978441,-0.023675864157598037,-0.0227721705103473
3414,-0.022289018027663254,-0.024027143245606397,-0.02255393552251106,-0.023821784528794576
1625,-0.030551789746560032,-0.016327426074058682,-0.029102936487505837,-0.01861210466476726
3566,-0.022899334042622232,-0.023776387590182635,-0.022443454341714242,-0.02416040251078222
3504,-0.026919544625671255,-0.021127432823031977,-0.023832261006281774,-0.02416074166302773
1072,-0.02247542912435918,-0.023967145385932143,-0.022427035891167346,-0.02401572102708993
2818,-0.008600355450784969,-0.03884441900043112,-0.007937078485975357,-0.036967339592102744
503,-0.02405110938524757,-0.02232370024905439,-0.024226912958881464,-0.022106242505087415
115,-0.02440765852303073,-0.023412170976134017,-0.02186300298048305,-0.025426686751871652
2922,-0.022599515798542802,-0.02382302295075478,-0.02260864696137288,-0.02381394928771885
3722,-0.022755655856130708,-0.023745330335869896,-0.022607908128864374,-0.023882808419217416
1798,-0.022718105958112078,-0.02370634169904451,-0.022714570698278425,-0.02372472970053474
1401,0.24438922939668606,-0.1395017376431963,-0.0413348293340724,0.10615252754399074
4126,-0.021584986442909737,-0.024787563094978093,-0.021601265567193217,-0.024709588401642057
2813,-0.029575922535090116,-0.022820340969947783,-0.017047375455241598,-0.037392842081780286
3065,-0.023337206061327942,-0.024214847158197772,-0.020972693123096686,-0.02663984834036115
1846,-0.022661392512268064,-0.023769332510258256,-0.022652490927459912,-0.023784899798541925
2920,-0.02260864696137288,-0.02381394928771885,-0.022618522890043624,-0.023803220983176887
2209,-0.023732974483951508,-0.022679402998529996,-0.023762666983366487,-0.022650628918794213
1624,-0.016327426074058682,-0.029102936487505837,-0.01861210466476726,-0.026963023410969678
1845,-0.023769332510258256,-0.022652490927459912,-0.023784899798541925,-0.02262970571519274
2245,-0.02379241311772351,-0.02264820300967929,-0.02378893846131025,-0.022669989667822188
3117,-0.024313675622748443,-0.0228737579958459,-0.02299264912843646,-0.0237177952014912
920,-0.01552826305405619,-0.030094963036026767,-0.01780134508143172,-0.02656493263574189
2930,-0.022608303520566753,-0.023823155286264774,-0.022601513458383682,-0.02382864363064119
2458,-0.01711087453098159,-0.02485033208617904,-0.02729374142535912,-0.012690111940843685
2679,-0.019549152818374327,-0.027823438128780964,-0.018042210934209435,-0.02869566842430371
3044,-0.02098078333122444,-0.025214687382406065,-0.02140192149211595,-0.024858896758362947
4759,-0.02383645574920612,-0.02262344767058888,-0.023782626184399636,-0.02266635035281772
2614,-0.022909295839490196,-0.023546815583080805,-0.022862131844724076,-0.023601310051832636
3537,-0.01788876030224651,-0.025385214904025566,-0.025169049489315642,-0.015873940034102252
3298,-0.02256197446476682,-0.02385699550795839,-0.0225737107690831,-0.02384821363060896
4214,-0.02273509059962242,-0.023770784008629975,-0.02256086229151366,-0.02395041826873512
3462,-0.024564510207523038,-0.021805619506515606,-0.02460949224251119,-0.02202629407658052
3231,-0.022081464421712327,-0.02492568182176902,-0.020928292291522932,-0.02564197262959944
1425,-0.1640467976857759,0.13999683656516249,-0.22231889614480704,0.21890329945291298
1105,-0.02386799952520202,-0.022540480124687567,-0.023903159272361196,-0.022503818938011788
3373,-0.02429319111596806,-0.02214136483094431,-0.024100085199420862,-0.02247324784545912
4051,-0.023775522939910032,-0.02266120160259988,-0.023760656762484178,-0.022677826752786956
2578,-0.022625819078873954,-0.0238035212210137,-0.022622237779251875,-0.023807328786978443
4513,-0.02480957269902373,-0.02212993731949442,-0.023694478079791637,-0.02340261172750646
