,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
232,0.16937243228914944,0.18083756606277746,-0.003115515421163395,-0.24114203608753026,-0.36608135845881307,-0.306299543368438,-0.12086767108251084,0.054938689634521864,0.10866205497115589,0.020053811675442512,-0.1354645316042662
1386,0.23031123397113862,0.28715694422548066,0.07650027155539663,-0.2151498108427249,-0.33644622875294106,-0.26590255488805936,-0.1184590663235191,-0.004409913183486602,0.019493552215074983,-0.03699994857011202,-0.1245879643431117
2060,-0.09961203216429149,-0.09341099385811724,-0.08933782740515539,-0.09260489217289858,-0.10192309004375033,-0.11125423820617142,-0.11485306588654687,-0.10972813760552991,-0.09805035954035646,-0.08631169417443096,-0.08319933963975445
3585,-0.09973334689667512,-0.09972667076454145,-0.10009403732484035,-0.1005652941043812,-0.10081941306915065,-0.1008304498243584,-0.10065329861885597,-0.10046094956296525,-0.10022948730105186,-0.09996765606575142,-0.09975211208538493
2339,-0.08972081613990801,-0.07311710253620751,-0.07552120194900946,-0.09859060435095757,-0.128338476497862,-0.14298973331758413,-0.12805156623261893,-0.08943978381196915,-0.053349023211846425,-0.04732276218413345,-0.07782419964806475
387,-0.10036372756874845,-0.10024225204786141,-0.10019555099360922,-0.10026680983307146,-0.10035569793584576,-0.10043347923165791,-0.10042533358895045,-0.10038034910939253,-0.10030070798147805,-0.10027016240307363,-0.10027190501010874
3647,-0.1005698613939382,-0.10049545899985224,-0.10029145326281541,-0.10014179913547028,-0.10011920115361239,-0.100261894321369,-0.1004217725315838,-0.10052454287938695,-0.10048029662745073,-0.10037258725118303,-0.10025549864765304
4478,-0.08298337992937588,-0.10060227304059732,-0.12065531394781348,-0.12931712448515575,-0.11952237791981923,-0.09476430681831516,-0.06942187180488679,-0.06122796828008159,-0.07917268166607272,-0.1151420483500919,-0.14674518579573748
3319,-0.10021791810469627,-0.10032434000428248,-0.10038081873535099,-0.10038412566343191,-0.10032415229300473,-0.10029459201946178,-0.10028763014125974,-0.10032841324384345,-0.10034518087341315,-0.10035128661841786,-0.10031659594112596
85,-0.1273763251872847,-0.13169606219995422,-0.1139385968391472,-0.08499185268858489,-0.0646985537774677,-0.06848686803349946,-0.09413497123633396,-0.12197203069678375,-0.13338646683828792,-0.12262487287695878,-0.09882154598672743
280,-0.07353453370449825,-0.10928340174409434,-0.14821317633005227,-0.1626099495452593,-0.13683958373139593,-0.08138080766321942,-0.0302745089384997,-0.020444816819359946,-0.06633549776455427,-0.14630653647243796,-0.20977303478527853
1129,-0.10059122454233405,-0.10057929765550055,-0.10041975244437518,-0.10025030905368137,-0.1001454091634374,-0.1001872180580683,-0.10030266081397987,-0.10043654219870679,-0.10046788169089249,-0.10041100257459856,-0.10029031888507545
1183,-0.10625226107748587,-0.10033570478417464,-0.09431120430851525,-0.09224056849383533,-0.09554730756537688,-0.10193460592349501,-0.1067435434479801,-0.107081842469117,-0.1032355331980358,-0.09813102284208974,-0.09507924413821178
4784,-0.10098934438972962,-0.1012586630669402,-0.10085775183334544,-0.09996265468496368,-0.0992386034743683,-0.09916766495084306,-0.09991414878391425,-0.10103742991373521,-0.1018285525319298,-0.10165629415578803,-0.10058966007602399
1502,-0.10027974447588472,-0.10032252223090865,-0.10031266012480589,-0.10026710626906044,-0.10025713240962231,-0.1002961636969879,-0.10039007478498618,-0.10046153105930955,-0.10044146304533774,-0.10028244680173215,-0.10009835662917
2847,-0.09960665393722812,-0.10027705231132367,-0.10120424931608518,-0.10167026258907175,-0.10110316697173716,-0.09977504389693614,-0.0986452473846221,-0.09871883457356556,-0.10002680397941177,-0.10151745000615564,-0.10177250829413498
3370,-0.10266367482484329,-0.10757376079776437,-0.10793817742426459,-0.10290168353461404,-0.09552678894124811,-0.09068438828993997,-0.09175366513916272,-0.09803680463428033,-0.10565775885823014,-0.1099028967968545,-0.10821590985632734
2828,-0.09659721666526855,-0.09630057712439655,-0.09908569093575081,-0.10382384535261369,-0.10770685245985889,-0.1076804229883137,-0.10271292242336905,-0.09513750234577878,-0.09026145238217498,-0.09332595098495444,-0.10501049183557987
2643,-0.07798451177314869,-0.08197897972914525,-0.09659025560173784,-0.10991561800431127,-0.11286621340937175,-0.1071396089444191,-0.09880941205811766,-0.09299561733409678,-0.0921434074533225,-0.09640052720380476,-0.10332660150713113
877,-0.09319072685413243,-0.09907977679346636,-0.10588449529639543,-0.10686610538294727,-0.10073843240527047,-0.09359523323935481,-0.09211046766241704,-0.09847589734666395,-0.10792887495143966,-0.1126918998054246,-0.10780128953568702
3625,-0.10044635616905462,-0.10038562773071003,-0.10028353421464187,-0.10025029113295791,-0.10026984700539787,-0.1003518333665615,-0.10040617168005084,-0.10044871936983313,-0.10044708108680489,-0.10044050750887401,-0.10035290033780797
3640,-0.10052454287938695,-0.10048029662745073,-0.10037258725118303,-0.10025549864765304,-0.10024004652275376,-0.10029939304420699,-0.1004089337106514,-0.10044589020255834,-0.10042287048082665,-0.10033028998155824,-0.10026871944443438
689,-0.10384842964575725,-0.10253601285878622,-0.09997323379927736,-0.09782928544061553,-0.09731569408218843,-0.09866056840186466,-0.10091977867764867,-0.10270903250574825,-0.10295969402132088,-0.10166583006854923,-0.09968767724803684
1307,-0.10384680833048954,-0.10036857260195431,-0.0963565020672984,-0.09519107804222215,-0.09810212571680654,-0.10336306092247383,-0.10715793464098367,-0.10634577166976178,-0.10088061035832985,-0.09421294154696314,-0.09111792259985196
2808,-0.13129173135424554,-0.07933704977116551,-0.03527510917993726,-0.03163905945654122,-0.07673961322428569,-0.14570042890630175,-0.19427361159048062,-0.18669741962495812,-0.12033783374304519,-0.030937268674295693,0.02311285727559853
1542,-0.10013326450333782,-0.09502508095090123,-0.0929932380681111,-0.09579501777535604,-0.10181817118563063,-0.1070528907480418,-0.10788905955918915,-0.1035100934967037,-0.09665223517790023,-0.09183995894062957,-0.09246944278006952
3690,-0.10051768689952933,-0.10029207365838078,-0.10015260800996739,-0.10014107753014478,-0.10026860561211182,-0.10038755850996028,-0.10046091953971947,-0.10043325162252015,-0.1003839653492441,-0.10033254023332883,-0.10033852387104403
542,-0.10188144886313755,-0.10302178913319027,-0.10276537458767487,-0.10084262529827726,-0.09819313891596237,-0.09643255836980047,-0.09698370958784885,-0.09978930020599808,-0.10286473479674885,-0.10425813542852824,-0.10333495553337935
4750,-0.09962507526280517,-0.09952461650160838,-0.09993885805459235,-0.10048949949938324,-0.10083573110565403,-0.10079621801155891,-0.10056311779115223,-0.10029310614236953,-0.10013738664092664,-0.10010215729833061,-0.10022937268751353
1838,-0.10039770634799128,-0.10022179483863625,-0.10012376813807289,-0.10014780882388041,-0.10031951077445667,-0.10049420831018063,-0.1005847457779473,-0.10049051138493759,-0.10029728465972876,-0.10010440233718754,-0.10008757924334921
3028,-0.09896378102020753,-0.09929692869568818,-0.1003689651214914,-0.1012334242595242,-0.10134160673067905,-0.10086655273761158,-0.1003545675655263,-0.09988960858651719,-0.09937241321097623,-0.09901596215824837,-0.09930015460283359
3994,-0.10023556333310646,-0.1001668299935129,-0.1002397740415415,-0.10037817038778529,-0.10052995953809174,-0.10055985821210423,-0.10046568815095125,-0.10025656854374299,-0.10010811247363716,-0.10011526156507788,-0.10032415702156272
1467,-0.09968760662886011,-0.0995075085135122,-0.09979441162108849,-0.10053988132213476,-0.1012960342556537,-0.10142767769618366,-0.10060713675332711,-0.09926656317311744,-0.09842075522367,-0.09890610785307341,-0.1006167454067769
3224,-0.10060486005620184,-0.10178881026818842,-0.10250461169189351,-0.10180642198652712,-0.09875253478946033,-0.0953468699067681,-0.0949864680665129,-0.09820381979713311,-0.10252951493390972,-0.10582021495501004,-0.10642119111784287
1578,-0.10320200933177592,-0.10038652279655158,-0.09788132477931566,-0.09722875352468985,-0.09861950960152521,-0.10085162284945659,-0.1023988527758305,-0.1023699802747996,-0.1010925932573421,-0.09961106252799257,-0.0989642226057541
4195,-0.10152349464990007,-0.10013918644607622,-0.09901232177292674,-0.09885230139401768,-0.0996098813131695,-0.10070242924019279,-0.10134671215857771,-0.10125613844210635,-0.10061574930473327,-0.09996294713081033,-0.09965663086905097
3460,-0.08930447429747679,-0.10627150909956973,-0.11719414026719632,-0.11545668753123994,-0.1038275855476859,-0.09154207551849103,-0.08727115817541808,-0.09296498414383203,-0.10338250259665083,-0.11033833592083919,-0.10872413667943948
3497,-0.11278725430893222,-0.11146619846294936,-0.10662224877685422,-0.10232411782128603,-0.09930485102784892,-0.09637243699456255,-0.09268758993819926,-0.09102894461597755,-0.09489578537894394,-0.10388629187074638,-0.11260183785260236
3735,-0.10088918812957481,-0.1009088377231876,-0.10061280967746311,-0.10013919890957079,-0.09966928818583753,-0.09954377367544631,-0.09984233740280046,-0.10038903427456203,-0.1008296943436936,-0.10102999187042505,-0.1008836263102687
3799,-0.09606990367427937,-0.07228544881150845,-0.06428692057956742,-0.08102059322667376,-0.11475147260171781,-0.14381862276480262,-0.14663254656426794,-0.1180951704721056,-0.0764932833055888,-0.050395873922483125,-0.045944603639679116
1978,-0.10307182761144373,-0.09540441374998343,-0.09171278298798369,-0.09399327888246245,-0.10008801672522782,-0.10550557096976432,-0.10685161618339001,-0.10384996506245692,-0.09924107380303304,-0.0963323511243468,-0.09675175314621198
2211,-0.1003770747539493,-0.10019930349164863,-0.1001183254542738,-0.10024074370959568,-0.10043222032459331,-0.10056367847432757,-0.10050170649802992,-0.10032762050909116,-0.10015020493955962,-0.10013470809662217,-0.10025163329729359
915,-0.09584625514588474,-0.08269627954166914,-0.08003143594689732,-0.09035644624010364,-0.10802004894347306,-0.12226204131598883,-0.12347987805452298,-0.10983314127812704,-0.08925771210587596,-0.07417340303868025,-0.07187203257685149
2872,-0.10008320315907626,-0.10031972843848602,-0.10058994375910568,-0.10065185876448368,-0.10048037884899541,-0.10017824404532372,-0.10001278816816128,-0.10006277179727419,-0.10029508784225083,-0.10049211618410137,-0.10053405033355045
403,-0.10113925458856887,-0.10065566365047585,-0.10002247490855054,-0.09965375641998453,-0.09969750910837549,-0.10010583878574664,-0.10055687629625032,-0.10080426271461607,-0.10070603562319413,-0.1004226298156593,-0.10013473579292043
