,Y,X1,X2,X3,X4
1443,-0.10957480992588531,-0.11915033419441912,-0.09218332532255435,-0.09368302594803413,-0.13067407769080897
3494,-0.10745392330667547,-0.10290754217324494,-0.10569577526665119,-0.10654741201077833,-0.10360643181055973
4234,-0.10362048919206435,-0.10756413786544228,-0.10546931986788943,-0.10356508471657322,-0.10604229462411052
1898,-0.10215778608217851,-0.11166896831492401,-0.10535804068498555,-0.09978611900830914,-0.10773270524392775
2646,-0.09923557223615764,-0.10852043774745446,-0.10762117569451524,-0.10050917388756653,-0.10608840739076653
850,-0.10437466327620837,-0.10049669113435156,-0.10802559589997207,-0.1075928137572646,-0.10288578501751955
288,-0.10001379960803092,-0.11196076488724283,-0.10982621494299927,-0.09466684730828734,-0.10593341096484432
1477,-0.10558157433154536,-0.10524434573322428,-0.10503268681838318,-0.10554252673628095,-0.10563224248999803
3221,-0.09556524755534423,-0.10999867569870714,-0.11122810491182267,-0.09926692840390539,-0.10285053231455288
2635,-0.10582426671402523,-0.10795643132964228,-0.10395275274117488,-0.10368591801825144,-0.1069062338201231
189,-0.07448981036916547,-0.12914397874842187,-0.12292447168754539,-0.07649911271851928,-0.10267551726372148
524,-0.10541658438211299,-0.10647907412691215,-0.10470221804662383,-0.10441253612631285,-0.1065447691553636
3211,-0.10912608133044222,-0.10253555426765582,-0.09817259296056413,-0.11222032015753303,-0.1127978883559434
334,-0.10536815776876418,-0.10514453749884967,-0.1054000971497876,-0.10549031826425825,-0.10517296923325348
1468,-0.10442036830249413,-0.1059469969999931,-0.10615564209828865,-0.10417014721609008,-0.10494901397463885
2506,-0.10401078782866935,-0.10626664041802802,-0.10633136027141477,-0.10378854384135083,-0.1049768807301823
1407,-0.3749544972320308,1.0,-0.3764492488803334,-0.9994508409399726,0.5542246398987583
1822,-0.10538738733838837,-0.10542700530212623,-0.10526147897891835,-0.10527536264914561,-0.10547125018968917
2930,-0.105374176103884,-0.10529814194834941,-0.10533966191264355,-0.1053702688492929,-0.10534789832279234
55,-0.10469666189661841,-0.10574203705472374,-0.1055629580338483,-0.10500770229804957,-0.10530567822825143
1503,-0.10530654049309718,-0.10547910017697659,-0.10527551435697169,-0.10523764797352564,-0.10542385148634748
4830,-0.1050270008496077,-0.10526078276610962,-0.10586258328742548,-0.10525470075240662,-0.10488309269454577
530,-0.10706385029617116,-0.10460788812835853,-0.10417951354547095,-0.10642440122347818,-0.10586300722270525
204,-0.10580402632921238,-0.09343283408704262,-0.11108562535273747,-0.11835715976471306,-0.0909597602198915
83,-0.08861495646485817,-0.10783918649138735,-0.1188966024583914,-0.09717792217396315,-0.09735862651167015
4857,-0.1040408168373963,-0.1089501799202619,-0.10560131196521083,-0.10145932117437062,-0.1065168456057215
4065,-0.10516929410166553,-0.10535812416190116,-0.10551866180054092,-0.1052311675836961,-0.10518011987527331
4403,-0.10535450579359629,-0.10530109857847647,-0.10530193029014401,-0.10543762884311436,-0.1053088646679895
4853,-0.1065168456057215,-0.10915319099177445,-0.10240830933641953,-0.10229063917920755,-0.10944239618781282
