index,Y,X1,X2,X3
3188,0.349843706,0.426021245,0.498553161,0.569323488
2834,-0.873143118,-0.867867279,-0.860994448,-0.852561832
1321,-0.917240483,-0.920832793,-0.923882947,-0.926517179
1746,-0.554661786,-0.54265151,-0.532021308,-0.524921656
2006,-0.851051685,-0.863969197,-0.875606466,-0.884606215
3620,-0.940397611,-0.939861749,-0.939331889,-0.938882976
1763,-0.807116612,-0.792917562,-0.779211521,-0.765791549
3957,-0.979231007,-0.979532179,-0.979871286,-0.980160459
1863,-0.96436937,-0.964402841,-0.9644873,-0.964545912
2567,-0.968698138,-0.968214774,-0.967754971,-0.967249805
2381,-0.937860633,-0.942775929,-0.946209884,-0.948563689
233,0.185503946,0.124692419,0.067531448,0.0127283
1042,-0.849291978,-0.843639405,-0.838177998,-0.832698346
2246,-0.957562704,-0.959955885,-0.96214226,-0.964086137
3554,-0.783623501,-0.767881244,-0.749548988,-0.727567852
1635,-0.684946967,-0.706966152,-0.727225801,-0.746243327
2463,-0.682399446,-0.662172435,-0.641246543,-0.621421796
1417,0.214284644,0.293455087,0.365959791,0.435957047
1356,-0.656448952,-0.667269089,-0.677434092,-0.687734304
55,-0.978725039,-0.978770077,-0.978869841,-0.978833879
4236,-0.981777908,-0.985143148,-0.98784537,-0.989830926
1428,-0.673579389,-0.566095158,-0.462418039,-0.391228165
1530,-0.914514427,-0.919243042,-0.923976786,-0.928719648
1713,-0.725615286,-0.723460519,-0.721309636,-0.719603364
700,-0.894232843,-0.894267095,-0.894613433,-0.895122707
1411,0.666627594,0.749379467,0.831141094,0.92039503
54,-0.978770077,-0.978869841,-0.978833879,-0.978814344
2793,-0.156111015,-0.151477165,-0.146519371,-0.143193068
3900,-0.967513804,-0.96783023,-0.968041013,-0.968183309
1843,-0.963946321,-0.963801529,-0.963686645,-0.963529414
4086,-0.972244102,-0.974395341,-0.976674652,-0.978903836
2810,-0.410267419,-0.371029284,-0.331868024,-0.295824459
257,0.645368276,0.650423577,0.652405552,0.655538156
3000,-0.93738016,-0.940014553,-0.942457218,-0.944749013
4720,-0.913006192,-0.910401302,-0.907554952,-0.904523499
926,-0.773011062,-0.76107354,-0.749141249,-0.736838589
3855,-0.631477406,-0.620799421,-0.611972575,-0.609468954
4108,-0.861658124,-0.867685094,-0.873959219,-0.880711647
3705,-0.949063858,-0.94955985,-0.95006793,-0.950532923
3847,-0.651818695,-0.662129947,-0.671811376,-0.681403509
1465,-0.986989641,-0.987875348,-0.988762332,-0.989669301
4866,-0.840816793,-0.843350453,-0.845596346,-0.84799208
3973,-0.977065895,-0.97704401,-0.977070601,-0.977069303
1886,-0.9216747,-0.926272622,-0.930911867,-0.935750253
1166,-0.931233558,-0.932213595,-0.932908054,-0.933453907
1332,-0.872759775,-0.876685201,-0.88071556,-0.885040455
583,-0.82543756,-0.82633404,-0.826961121,-0.826969485
1899,-0.855560994,-0.86012277,-0.864833175,-0.869672625
767,-0.965312247,-0.965124348,-0.964928037,-0.964660481
695,-0.896305256,-0.896965582,-0.897702702,-0.89842073
4529,-0.852743378,-0.850202506,-0.846780668,-0.842477246
1381,-0.729273082,-0.738519999,-0.740418622,-0.733470033
3285,-0.930732777,-0.929346275,-0.927938043,-0.926433319
250,0.681659927,0.696642771,0.712507521,0.728708808
1656,-0.307111831,-0.327617074,-0.343647095,-0.35713783
1909,-0.836617588,-0.836332626,-0.836266473,-0.836300773
654,-0.854624869,-0.849248041,-0.843224336,-0.836739692
4601,-0.92766667,-0.928057371,-0.928545289,-0.928889152
2064,-0.655028,-0.657866084,-0.659935296,-0.661788032
777,-0.962871545,-0.963608853,-0.964246027,-0.964705141
630,-0.710243416,-0.707674792,-0.705331516,-0.7032547
3101,-0.678587707,-0.685943941,-0.692530938,-0.69884589
