,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
2184,-0.9984235170471926,-0.9556966990260195,-0.2636494102659728,-0.1253754377149071,-0.10042480334643444,-0.0819785119964288,-0.04966013245163681,-0.10520503101637468,-0.21857557118001747,-0.10493810759941602,-0.023818833485726
3229,-0.9723030507428816,-0.7208464949598937,-0.21228353701611524,-0.11126813105761457,-0.0953468699067681,-0.07558095736707138,-0.03926332478833816,-0.09435719977910473,-0.21212559616623516,-0.10601704199786743,-0.025379733205084132
1098,-0.9982849538689192,-0.956693432738464,-0.2623944015858545,-0.12512112000529607,-0.10050070872134409,-0.08212748118698787,-0.049812436594964815,-0.10529798951979474,-0.21863128680237598,-0.10496398945671959,-0.023975795683598755
1896,-0.9976130531742733,-0.8855720581771209,-0.2807647954624395,-0.11872441204557305,-0.10834059505735183,-0.07925196483037888,-0.05400723334380275,-0.10176642663820468,-0.22343233023550735,-0.10136207865821423,-0.02491650128433598
3398,-0.996381670967354,-0.8828800136008608,-0.26143915051970723,-0.12756767983383843,-0.10141732512042112,-0.08189515803856207,-0.04850977312772209,-0.10474639855186774,-0.21879101429194203,-0.10510611338377229,-0.023618737667083334
351,-0.997139846848472,-0.9342500388238011,-0.26217612262752843,-0.12477087244771545,-0.1002729912978616,-0.08202430836097907,-0.049583287045334656,-0.1052480915372126,-0.2186571757655238,-0.10486263119533445,-0.022691252797856443
1309,-0.9979607683197516,-0.9183810710950688,-0.27381969184441524,-0.1253819284231702,-0.10088061035832985,-0.08314982621460898,-0.04858945618641741,-0.10491706453181282,-0.21983904895285256,-0.103541748322169,-0.022736451205883967
4148,-0.964198412013689,-0.8206497948168299,-0.21993913265794507,-0.10668695473814649,-0.0821113537272472,-0.06518191186701783,-0.032080304713270835,-0.08974986321599665,-0.20558536411941675,-0.09574086632696488,-0.01576648156882754
64,-0.9992575105164223,-0.9759170439243905,-0.25583143205998027,-0.12336289365459019,-0.10228848859563344,-0.0823690235152088,-0.04870362267387762,-0.10621885776223683,-0.21807450123895655,-0.10556242026390095,-0.023698289654282
4132,-0.9927476555371676,-0.7939654916418057,-0.24926689619090192,-0.1310345558782946,-0.11409494196405345,-0.077443399161225,-0.046684886154433114,-0.11218491909127848,-0.21961297375135524,-0.1059587705373517,-0.024929054339615897
2,-0.9994143744918261,-0.9786584705064225,-0.2634524389172237,-0.12528608500628458,-0.1003010180011098,-0.08169490913819588,-0.049420745880130235,-0.1055617371290174,-0.219022569523883,-0.10497513118487578,-0.023562505948826584
3259,-0.9930352394920744,-0.8646853280335178,-0.25094967958934045,-0.12182587510677823,-0.10160177136106685,-0.0835169343429445,-0.048363391013654944,-0.10521299612951107,-0.21940420961240514,-0.10461170652962071,-0.02255247729483334
3390,-0.9946038792461117,-0.8583544541207889,-0.2747943057918043,-0.12018002380747916,-0.09807936250526483,-0.0823141588942704,-0.04971551961396925,-0.10534247144588516,-0.21829711101279015,-0.10449434130375967,-0.023719434762941805
142,-0.9968522628935652,-0.9006066454261797,-0.27327418241818924,-0.13302437973621417,-0.09607224322001318,-0.07504304619298574,-0.04900748535049737,-0.10467596369451604,-0.2188484506365006,-0.10409750327562106,-0.02257554227947489
4833,-0.9978169763422982,-0.929534712059514,-0.2614202006393741,-0.12363308417144869,-0.09980944937855052,-0.0824685415477584,-0.0494942879373631,-0.10526078276610962,-0.2189009667469607,-0.10533706683549682,-0.022915646931604083
359,-0.9976104387746833,-0.9426148369930406,-0.26325905719037035,-0.12512733974310564,-0.10028377229744811,-0.08167606254742854,-0.049595546288193515,-0.10517852695880825,-0.21870301475087184,-0.10477320677284863,-0.022637222821413006
2164,-0.9975450787849316,-0.937847570531684,-0.26405877687483204,-0.12595375524977348,-0.10071639751746253,-0.08160489611248223,-0.04953671846971852,-0.10544066670427144,-0.21868902378941957,-0.10493330386847721,-0.02364447737704356
157,-0.9988914945738137,-0.9651803581795703,-0.2632574365808792,-0.12582527964761014,-0.09952605252222801,-0.0831030758795066,-0.05003731588621074,-0.1058050193723592,-0.21874521474738895,-0.10444198494544699,-0.022446347485870488
2202,-0.9987633889939006,-0.9643110577548428,-0.2624117433206904,-0.1253313348483508,-0.10046272161485714,-0.08185057125292317,-0.04978177701851361,-0.10543017646317865,-0.21877137994385587,-0.10504718693426374,-0.02382859648977509
2861,-0.9946038792461117,-0.90007413872269,-0.2553400139548857,-0.12410617762623599,-0.10063932731493319,-0.08157442532502268,-0.05011979591104887,-0.1053098229755004,-0.21864530920088354,-0.10487035585264137,-0.022503788456510243
2109,-0.978839049718037,-0.4778949809758788,-0.32628029432304395,-0.01466187172775002,-0.11459829478324657,-0.08804686226139946,-0.07181701862088818,-0.1337781877034503,-0.2324412612810658,-0.10343637135735462,-0.001915953018285954
507,-0.9971659908443726,-0.8872982185305949,-0.282536508487524,-0.12730156801452008,-0.09600982760752819,-0.08038414774152214,-0.05005744991007732,-0.1060040641224621,-0.21886115805262207,-0.10489445320283164,-0.02242273487554236
885,-0.9980392003074534,-0.8761338229804815,-0.2535435267261398,-0.1380466610729928,-0.10588449529639543,-0.08454760279490203,-0.05700465070550209,-0.1102113723927739,-0.21839667278858554,-0.1030788790571392,-0.02072036200186933
1182,-0.9980836451004844,-0.9127424135626058,-0.2761163039695086,-0.12868918196214763,-0.09571303614292326,-0.08444982787755184,-0.049453136333733494,-0.10421720089772724,-0.22065807522924763,-0.10366609700845753,-0.024318708630435837
2186,-0.9984235170471926,-0.9567661418674276,-0.2637299288358197,-0.12536265422611537,-0.10025766300357064,-0.08171201173593046,-0.049699348701167434,-0.10545275312505542,-0.2186573011778865,-0.10487908232883836,-0.02378356389313696
2543,-0.9979921411148323,-0.9400473831837928,-0.26540628874224315,-0.12543538550082678,-0.10024627121099328,-0.08191311612439833,-0.04963805017269485,-0.10518218369050303,-0.21859207773261047,-0.10485715411742935,-0.02272540443202209
427,-0.99789802272959,-0.930108055777077,-0.26342626211601927,-0.12286668909790999,-0.09861954753090396,-0.08268462337229221,-0.04893243771368716,-0.10525108083059709,-0.21887584132556304,-0.10506410277136546,-0.022504313082615468
2148,-0.9959372230370435,-0.9068975436062435,-0.2547267370934697,-0.12167950077723866,-0.10228257505027405,-0.08292688599374143,-0.04908811127098556,-0.10578332616877895,-0.2181538701862593,-0.10563454454478549,-0.023659031557121568
3307,-0.9978640355349192,-0.9476952704995716,-0.26244015611561033,-0.12513578821770732,-0.10021394566205721,-0.08189596034910096,-0.049731619862634524,-0.10536272202329866,-0.2186177016280485,-0.10480661733625185,-0.022606006720097604
